Given the following options detailing modifications to AutoTest, which of the following would you...;;; Describe why you chose the option you did (r0_AutoTest)
More detailed feedback;;; I wish I could choose all of them. But I would say more detailed feedback because it would not only help me know where to focus and improve my code, but in turn that would probably result in an increased grade and such, so the positive outcome from more detailed feedback I think would trickle down into the rest of the categories. (r15_AutoTest)


More detailed feedback;;; It would have been nice to see which tests exactly were failing so we had a more clear understanding of what needs to be fixed. (r16_AutoTest)


More detailed feedback;;; Hard to find bugs (r17_AutoTest)


More detailed feedback;;; I found that the frequency of checking my grade was fine (apart from C0 which was a bit stressful). A lot of my issues with the autobot stemmed from the lack of description. For instance, in C1, all of our query tests were failing and all of the other dataset tests were passing. My partner and I spent over a day trying to find the root of the problem and it ended up being unrelated to the query implementation (it was an unresolved promise in the addDataset function). It would've been nice to know that the autobot tests failed due to a timeout or unresolved promise as that would've given us an idea of what to look for in our code. (r18_AutoTest)




More feedback on what grade my submission received;;; Was good, sometimes frustrating with limited calls especially if you didn’t know if your test suite was complete (r20_AutoTest)


More detailed feedback;;; would have been nice to have a bit more context on why a given test case was failing (r21_AutoTest)


More detailed feedback;;; Sometimes need to dig quite deep to check for a missing edge case. (r22_AutoTest)


More detailed feedback;;; I don't need more frequent feedback, I would like more detailed feedback to give me more to work with. (r23_AutoTest)


More detailed feedback;;; Honestly, our test suites was so thorough that we almost never got feedback beyond "proficient" but the one time we did, it was a bit vague about the direction. The fact that so many smoke test tests were interrelated meant that we were not sure if we had an issue in the smoke test error location or if it was because a different error meant that that test couldn't run. (r24_AutoTest)


More detailed feedback;;; Some of the feedback was not clear. Something changing something not at all related to the feedback was what improved our score. Feedback should be more accurate and detailed. (r25_AutoTest)


More detailed feedback;;; There were times where we weren't sure what specifically in the bucket we were failing, and additional feedback would have helped with more targeted solutions. (r26_AutoTest)


More detailed feedback;;; Sometimes it was difficult to determine why specific tests were failing. Specifically for c2, our tests for MAX/MIN were failing and it was difficult to determine why. (r27_AutoTest)


More detailed feedback;;; Most of the feedback was good, but sometimes it was an unhelpful failure notice. (r28_AutoTest)


No changes;;; There is no need to change. (r29_AutoTest)


More detailed feedback;;; The autograder can feel like a black box.  For example on C2, we were failing the "MIN" or "MAX" test, but it wasn't because the "MIN" or "MAX" function was wrong, it was because of completely unrelated but larger issues in the implementation. (r30_AutoTest)


More detailed feedback;;; It was terrible feedback that the autobot did. I wish it could give more details on the tests that were failing. Like in C2, it would mention work on Min/Max even though we can see with the table of checkmarks that it is X'ed out so it was giving useless feedback that we could see. Also for c3, it would show us 7/7 but then not give us profficient and say work on Get datasets. That gave my group and the TAs not enough info on where to go on. (r31_AutoTest)


More detailed feedback;;; I still have no idea what happened in C2 for the MIN/MAX. Even if more feedback isn't given during the checkpoint, it should be given after so at least our code can be correct for future checkpoints. (r32_AutoTest)


More detailed feedback;;; The feedback was not very helpful in determining where the issue was coming from, for example we ran into timeout issues in C2 with not very helpful feedback. (r33_AutoTest)


More detailed feedback;;; Sometime the autograder tells you a certain part of your code is not functioning correctly, and that the said function did not passed the test. But later we realized the real problem lies in a different function which we have to fix first. So it would be helpful if the autograder can tell us what that specific test fail, and how it fails. (r41_AutoTest)


More detailed feedback;;; Just asking us to work on one part (for example addDataset) was not that helpful feedback. (r37_AutoTest)

No changes;;; I don't think there should be more detail because in the real world, no one is there with a perfect set of test cases. YOU, have to make them yourselves. I'm actually impressed with some of the edge cases I missed and how TAs and instructors accounted for those. But what would be the point if autotest told you exactly what was wrong and then you just fixed it. Because when you go out and build projects without having developed this critical thinking ability of  what type of bugs might originate, you might think you have something perfect but then when you send it out to production, it will be riddled with new errors and you will have no idea why. (r34_AutoTest)


More detailed feedback;;; A lot of the times the autograder just said that one test was failing, but there was no way for us to know why it was failing (it turned out to be an issue completely unrelated to that one test case), and we had to go to office hours for the TAs to tell us what error messages our code was throwing in order to figure it out. (r35_AutoTest)


More feedback on what grade my submission received;;; Sometimes it was hard to figure out why something was failing (r36_AutoTest)


More feedback on what grade my submission received;;; Sometimes I wouldn't know where to fix places like maybe addDataset passed but if it was not entirely correct it could effect perform query tests (r38_AutoTest)


More detailed feedback;;; Like I said feedbacks are too vague. (r39_AutoTest)


More detailed feedback;;; I value detailed feedback as it provides valuable insights into my implementations and helps me identify areas for improvement. Specifically, I am keen to receive more information regarding any logged errors in the code. (r40_AutoTest)


More detailed feedback;;; more detailed feedback help me debug, track what did i do wrong (r52_AutoTest)


More detailed feedback;;; I found that my partner and I were not reliant on the autobot for checking the functionality of our code, but when our code is working and passing our local tests, it was frustrating to not know the issue, especially when at the end of the day, our goal was to get the grades we wanted. (r42_AutoTest)


More detailed feedback;;; Because sometimes letting me know hey this thing fail because I try a query and it did not worked really does not help to think about anything specific I can work on. (r43_AutoTest)


More detailed feedback;;; A lot of problems pointed out by autotest were super opaque. A lot of the time, the feedback was work on this overall topic but we didn't know why it was wrong. (r44_AutoTest)


Ability to check the same amount of feedback but more frequently;;; Sometimes I want to know if the small change i did fixed it but i felt held back (r45_AutoTest)


More detailed feedback;;; The bucket grading auotbot was kind of useless. It only gave feedback like: We recommend you work on GET-datasets, but if students knew if something was wrong with listDatasets then they would have fixed it already. The autobot feedback was very vague and gave no clue on where to begin debugging. (r46_AutoTest)


More detailed feedback;;; The messages were not able to help us or the TA helping us to help triangulate where a bug was occurring. (r48_AutoTest)


Ability to check the same amount of feedback but more frequently;;; Less stress of only having 2 calls to the autobot each day. (r49_AutoTest)


Ability to check the same amount of feedback but more frequently;;; More checking is always useful to fix silly mistakes. Makes it easier to get a good project grade (r50_AutoTest)


More feedback on how the grade was computed;;; I think that giving a hint to one possible test case that is failing could be a good idea. It will lead to more time spent coding and possibly lead the students to discover more cases that they have not thought of. (r51_AutoTest)


More detailed feedback;;; If a bucket was missing a point, there could be many reasons why. With more feedback, I could figure out where the problem was more quickly. (r53_AutoTest)


Ability to check the same amount of feedback but more frequently;;; PrairieLearn and other automated testing tools used at UBC frequently have a faster cooldown. I was able to debug most of my issues locally or figure out how to test the issues, so I wouldn't have needed more detailed feedback, but figuring out how to 'time' #check usages felt very irrelevant. (r54_AutoTest)


More detailed feedback;;; I wish we could see exactly how many tests were failing and in what categories. Knowing if a change actually made a difference i.e. 14 tests failing vs 13 would be really great to know.\Ideally, the detail in feedback could also include actual and expected results for some tests, maybe a select few. (r55_AutoTest)


More detailed feedback;;; I remember specifically one instance where autotest determine that my implementation of min and max were failing but it did not say anything more than that, so we were left with very little clue as to what was going wrong, because locally the implementation all of our test. (r56_AutoTest)


More detailed feedback;;; For some tests that are dependant on each other, it was hard to tell if the error it was reporting was actually caused by a certain area of code or if it was on some other dependant section, and since autotest had no further feedback, it was up to independent debugging to exhaust every possible place the error may have occured. (r58_AutoTest)


More detailed feedback;;; Hints toward what path forward to take. For example, if the code failed on one method, what specific tests actually failed. (r60_AutoTest)

More feedback on how the grade was computed;;; Often times I had several of the smoke tests passing but was still in a lower than expected bucket. This being said I would have liked to have known where the issues were coming from. (r61_AutoTest)


More detailed feedback;;; It was oftentimes very hard to pinpoint where our issue was, especially when it timed out. (r62_AutoTest)


More detailed feedback;;; i would have appreciated more detailed feedback as to what specific smoke tests represented. i remember being confused as to what exactly query ebnf means, and what partitions i was not meeting. (r63_AutoTest)


No changes;;; My view would likely not be popular, but I don't believe AutoTest should be overly helpful or more frequent than it currently is. I believe the purpose of AutoTest should be to let groups know when they have done enough work to stop and to give some general pointers on where to focus if the submission is deficient. Making AutoTest too helpful might disincentive groups from writing their own tests which would be a shame. In the real world there isn't really some higher order test written by higher ups to validate the work being done. Things largely sink or swim on the strength of the tests written by the implementors, not tests conveniently given to them from above. (r64_AutoTest)



More feedback on how the grade was computed;;; Sometimes what was causing a problem was extremely unclear. Even the TAs at times were unable to help improve our score due to a lack of specific information from the grader. (r66_AutoTest)


More detailed feedback;;; A lot of the times we didn’t understand why we are not passing the autotest fully and the TAs couldn’t help us (r67_AutoTest)


More detailed feedback;;; more detailed feedback, as to exactly which tests we failed would be very useful. (r68_AutoTest)

Ability to check the same amount of feedback but more frequently;;; Lots of feedback often is a good way to keep track of the project progress. (r69_AutoTest)


More detailed feedback;;; Some tests are vague and we don’t know what is failing exactly (expected/actual values). At times, we were passing all local tests but failing the bot tests. This especially applies when the returns value of certain functions weren’t as expected by the bot, ie. bot expects int, our tests printed the correct number as a String, and the bot test fails ambiguously. (r70_AutoTest)


More detailed feedback;;; Sometimes, it was difficult to know what was going on when a test was failing - for instance, our group got stuck for a while trying to figure out that our implementation was converting a numerical field to a string, for some strange reason. (r71_AutoTest)


More detailed feedback;;; more detailed feedback would be useful, as many times we had to go to OH to check why our code failed. The limited feedback made it challenging for us to figure out what to debug and fix. (r72_AutoTest)


More detailed feedback;;; Sometimes, the autotest would give feedback such as "you should look into working on X" but the problem actually occurs in another section of the code and only appears on X. more detail could help identify these kinds of cases. (r74_AutoTest)


More detailed feedback;;; During C2 we were not able to get the MAX/MIN buckets but we figured out during office hours that it was because of issues with addDataset. Having more detailed feedback would have helped us figure out the problem and debug more efficiently. (r75_AutoTest)


More feedback on how the grade was computed;;; I think having guidance over the bucket style of grading would have helped make more informed decisions of where to spend our time. (r76_AutoTest)


More feedback on what grade my submission received;;; sometimes, in the beginning phases, it was very discouraging to not know our grade and how far along we were, especially if there were other persisting issues. (r77_AutoTest)


More detailed feedback;;; Sometimes when the tests are failing it can be hard to tell what caused it to fail. One time the test failed because of some other defect in the system that was not directly related to the part under testing, and that took us a long time to fix without any detail from AutoTest. (r78_AutoTest)


Ability to check the same amount of feedback but more frequently;;; Limiting ability to check grade felt like I had to space out the times when I worked on the project, which didn't feel great especially as a student taking a lot of courses. (r79_AutoTest)


More detailed feedback;;; More detailed feedback for why my code was causing issues and what was limiting it from fulfilling the next bucket. (r80_AutoTest)


More feedback on what grade my submission received;;; I think buckets were nice since they grouped my progress, but sometimes I had a minor issue that I might have had to spend a lot of time to debug before I was able to move on, which would have already fully met the test requirements. (r81_AutoTest)


More detailed feedback;;; Some of AutoTest's feedback was misleading. For example, my groupmate wrote code that didn't correctly store the id for rooms datasets (separated using '-' instead of '_') which resulted in AutoTest saying to "work on geolocation" despite geolocation working fine. I understand that it is extremely difficult to test code independently, so this may not be something that can be fixed. (r82_AutoTest)


More detailed feedback;;; I had some very irritating errors where I could not understand where I was going wrong. With more specific feedback I would be able to solve the issues myself instead of going to the TA. (r88_AutoTest)

More detailed feedback;;; In a few small cases, the specification did not clearly indicate how to handle some edge cases. It would have been very helpful to get back information about what kind of test was failing, or what the result vs. expected result of the test was, to help clarify those cases. In the real world, I imagine I would make those judgements myself, or work with my team to define those. (r83_AutoTest)


More detailed feedback;;; I chose that option because there were many cases where we got feedback from the bot and had no idea what it was talking about and it's feed back wasn't very actionable. so I would like more detailed feedback like the post checkpoint feedback or maybe test outputs. something more detailed and actionable. (r84_AutoTest)


More detailed feedback;;; So we know what kind of errors are being thrown at us (r85_AutoTest)


More detailed feedback;;; A lot of the time we didn't know what aspect of a bucket was incorrect. Sometimes, the buckets were misleading as well as they could depend on other features that were broken. For example, one time the bucket indicated that there was an issue with our wildcard implementation but our fix for it did not involve fixing any of our wildcard code. (r87_AutoTest)


Ability to check the same amount of feedback but more frequently;;; It felt like it took a lot to figure out the optimal times to choose to grade and sometimes it felt like my thinking and reasoning for writing code or writing certain portions of the code revolved more around thinking about how it was going to get graded than the actual functionality or effects on the project as a whole because the grading amounts felt limited and sacred. (r89_AutoTest)


More feedback on how the grade was computed;;; We need more details on what kind of tests are failing. Or the error messages (r90_AutoTest)


More detailed feedback;;; When some smoke tests failed it was sometimes unclear what exactly is wrong (r102_AutoTest)

More feedback on how the grade was computed;;; it was tough spending many hours discovering and fixing bugs only to see the same message on autograde. It would be nice to have a more detailed feedback on issues that I was able to resolve. (r91_AutoTest)


No changes;;; I felt busy at times but the workload was reasonable, and I think I have a relatively busy schedule. If autotest were available more often, I could've just cheesed it. and I found the amount of feedback quite helpful. (r92_AutoTest)


More feedback on what grade my submission received;;; Sometimes, we had the prompt giving us a very basic response when it could have been more involved. (r93_AutoTest)


More feedback on how the grade was computed;;; I wasted a lot of time trying to fix something not worth alot because I would affect the other portions of the grading. (r94_AutoTest)


More feedback on how the grade was computed;;; In some cases, we would pass the required number of tests (e.g. 2/2, 3/3 etc) tests for each function but still have Developing or Acquiring grade. Then we would be given advice to work on a particular function, but often this wasn't actually the function that had problems.\\It would be nice to see precisely how many tests for each function were passing, as well as some particular test scenarios, to be able to hone in on the problem. (r95_AutoTest)


More detailed feedback;;; I think it is probably for the #cx; it's sometimes frustrating after writing a lot of tests not to understand why it is still not working. But still, I guess it's part of the learning and is the goal of the project, so while it's frustrating, it makes sense. (r96_AutoTest)


More detailed feedback;;; It was frustrating getting a test failing but not knowing why exactly, especially with c0. Even a little bit more of a hint such as the name of one mutant that failed would have helped a lot. (r97_AutoTest)


No changes;;; I found the feedback to be sufficient. (r103_AutoTest)
More detailed feedback;;; Trying to mimic real software development just doesn't work, this is a class and I should get feedback on the tests I'm failing and why. (r98_AutoTest)


More detailed feedback;;; Sometimes, telling us that we should work on X can be helpful, but I often didn't get it. Maybe more feedback (more like the post-checkpoint feedback from the autograder) would be better. (r99_AutoTest)


More detailed feedback;;; When most tests say 1/1, but I'm still getting 80% or less, I get discouraged because I have no idea where my bugs could be because my local tests are passing. So I tend to give up. (r100_AutoTest)


More detailed feedback;;; Sometimes we got less point, but in Profeicient. And another time we got full marks but Develpoing.....\In c2, our SUM is incorrect, but we have no idea how cause rest of the keywords passed (AVG, COUNT, MIN, MAX) (r101_AutoTest)


More detailed feedback;;; Helps a lot when debugging (r104_AutoTest)


More feedback on how the grade was computed;;; Failing smoke tests with no more details are not helpful, and also not an accurate reflection of how test-driven development works in reality. Being able to work backwards from the description of a failing test to a solution for the bug is a much more useful skill than blind guesswork. (r105_AutoTest)


More detailed feedback;;; Sometimes just saying something like "We recommend you work on AddDataset" wasn't very helpful, since that encompasses quite a lot of functionality and it was hard to know exactly what was going wrong. The bots that provided feedback after the deadlines were much more helpful and allowed us to fix small issues that we couldn't identify earlier, before they turned into a bigger problem. (r106_AutoTest)




More detailed feedback;;; More details in the feedback is going to be more helpful for pinpointing our issues and pointing us in the right direction. (r107_AutoTest)


Ability to check the same amount of feedback but more frequently;;; I think there were some instances where I had slight issues in the code but since I did not have any grading attempts left I had to wait for the next day to do it again to make sure that issue was fixed first instead of focusing on other parts of the project. (r108_AutoTest)


More detailed feedback;;; Specifically for timeouts. The biggest issue for my group during the project was during c2 was timeouts and the autotest would take 5-10 minutes only to give zero feedback even when things were running quickly locally. It would be nice if it were possible to receive more feedback upon getting a timeout on the smoke tests, as this feedback was only given occasionally when using check. This feedback should show up more consistently and should definitely appear when calling autotest for smoke test results, especially since it normally tells you which part to focus on normally (it gives no feedback on what to work on for timeouts) (r109_AutoTest)


More detailed feedback;;; More detailed feedback. At times, the autotest feedback was actively unhelpful. For example, on C2, many people found their implementations of MAX/MIN for example were not passing. The problem for most however wasn't with their implementation of MAX and MIN, but of the additional tests these suites had. Geting more insight about why tests were failing could be helpful for these students. (r110_AutoTest)


Ability to check the same amount of feedback but more frequently;;; Having only 2 checks a day is pretty scary and makes you not want to submit your code until you have more things implemented.  Also, It would make a lot of sense for there to be better tests for add Dataset specifically since 99% of the adding requires perform query to be working, so you honestly don't even know if its working properly as they expect. Granted though, it is honestly not that hard to test yourself. (r111_AutoTest)


More detailed feedback;;; Sometimes the feedback isn't really detailed enough. There could be multiple things wrong with your submission but the autobot only tells you one of the things that is wrong (r112_AutoTest)


More feedback on how the grade was computed;;; Sometimes we misunderstood the grade so I think if we know more about how the grade was computed, it will be better. (r113_AutoTest)


More detailed feedback;;; It was sometimes vague (r114_AutoTest)


More feedback on how the grade was computed;;; It often felt like tests were failing for no reason (r115_AutoTest)


More detailed feedback;;; Sometimes it was hard to pinpoint what's wrong as it's only the presence or absence of a checkmark beside the grade. For instance, my partner and I could not figure out why we weren't getting the caching progress check. (r116_AutoTest)


More feedback on what grade my submission received;;; I would want to know how my code behaves/runs into error against the bot test. The info is extremely limited and sometimes I just don't get why I get stuck at a level and what to do to advance it (r117_AutoTest)


More feedback on how the grade was computed;;; Sometimes the autograder was confusing on the feedback it was providing. For example, in one checkpoint we had two clusters with 'X' but the recommendation area to work on was neither of those areas and when we worked on the recommendation area which already had a checkmark, we reached proficient bucket (r118_AutoTest)


Ability to check the same amount of feedback but more frequently;;; It was stressful having so few autobot checks (r119_AutoTest)




No changes;;; Most students would've liked more feedback but I think it defeats the purpose of local testing / test-driven approach. The minimal feedback we are seeing right now is more closely aligned to what you might get in the real world. (r120_AutoTest)


More detailed feedback;;; It was really confusing when there was just an indication of one part of the project being wrong (r121_AutoTest)


More feedback on how the grade was computed;;; (r122_AutoTest)


More detailed feedback;;; Would have been helpful to figure out exactly which tests our code was not passing to make it faster to debug (r123_AutoTest)


More detailed feedback;;; It was sometimes vague with what tests were / weren't passing, and the wording on what exactly was wrong was tricky (r124_AutoTest)


No changes;;; I think it is okay as it is (r125_AutoTest)


More detailed feedback;;; More detailed feedback would make it easier to reproduce issues locally. (r126_AutoTest)


More detailed feedback;;; Failing smoke tests were sometimes confusing and more details wouldve helped figure out why we were wrong. Also since the autotest is supposed to be a "client", you should be able to get clarification from a client. (r127_AutoTest)


More detailed feedback;;; Each submission we did we thought would be right so often when there was limited feedback (like the autobot just saying there was a timeout) we didn't know where to start. The checks were much more useful at addressing these issues however, there were still some instances where there was limited information to know where to focus our efforts. (r128_AutoTest)


More detailed feedback;;; More detailed feedback would help with debugging. (r129_AutoTest)


Ability to check the same amount of feedback but more frequently;;; 2 tests a day is a lot of added stress, and disincentivices students from getting a lot of work done in any single day (r130_AutoTest)


No changes;;; it gave me good feedback that I could work on (r131_AutoTest)


More detailed feedback;;; Sometimes the autotest feedback seemed vague and confusing, especially when our local tests were all passing. It was sometimes hard to figure out where the issues were in our implementation. (r132_AutoTest)


More detailed feedback;;; i have no clue what 1/2 for AddDataset means (r133_AutoTest)


More feedback on how the grade was computed;;; There have been times were the smoke tests through us off and the feedback after the checkpoint would show contradicting results to our submission tests. (r134_AutoTest)


More feedback on what grade my submission received;;; Just because you get proficient, doesn't mean you get 100%. It makes it hard to know when you should stop working on it for students who want to get a perfect score. (r135_AutoTest)


No changes;;; I think the Auto-test is good enough, more feedback will make student less care about their own tests. (r136_AutoTest)


More detailed feedback;;; As with my answer in the previous portion, detailed feedback like "Focus on Invalid Cases in Query" is much more useful than "Query smoke tests failed". The ability to see which of our tests failed is also extremely helpful to help us identify misunderstandings of the specs early on, especially in the cases where the specs are unclear and we need to "guess" what the desired behaviour is. (r137_AutoTest)


More detailed feedback;;; While the autograder did a good job of describing what part of the code to work on for a better grade, occasionally it could be very difficult to determine what exactly was going wrong (r138_AutoTest)


More detailed feedback;;; i spend a week, on finding a really trivial test case because i didn't expect that to be tested. extremely waste of time and useless effort. (r139_AutoTest)


More detailed feedback;;; We felt that the autotest feedback sometimes did not provide correct feedback or feedback that was accurate to where the issue was. (r140_AutoTest)


More feedback on what grade my submission received;;; (r141_AutoTest)


More feedback on how the grade was computed;;; efaef (r142_AutoTest)


More detailed feedback;;; I would like to see the detail about the test that failed after run #c3. Sometimes all block is ✅ but my grade is still not Proficient. (r143_AutoTest)


More detailed feedback;;; Knowing what's wrong is more important (r144_AutoTest)


Ability to check the same amount of feedback but more frequently;;; I would feel more secure knowing that we can check our grades more times because we would often want to “save” the check for later, and we end up not using them enough for the fear of not having any check left when we actually need to check. (r145_AutoTest)


More detailed feedback;;; A lot of times I had very vague feedback like ValidEdgeCases and I had no way to see if my smoke tests were improving at all since all the checkboxes are ticked but I’m just stuck in the same grade bracket. (r146_AutoTest)


No changes;;; I feel like the auto test feedback was fair. (r147_AutoTest)


More detailed feedback;;; no idea what went wrong (r148_AutoTest)


More detailed feedback;;; Sometimes I spend hours trying to debug off of the hints given, but it sometimes is not what I should focus on. (r149_AutoTest)


No changes;;; I think the autotest is fair in all aspects. (r150_AutoTest)


More detailed feedback;;; One thing that was very frustrating, was in checkpoint two, me and my partner received checkmarks for all the sections in the bucket grading, yet we still were developing meaning we were missing tests. It would've been nice to know from where the tests were missing from, as it does not make sense for check marks to be checked on all parts yet not being proficient. (r151_AutoTest)


More detailed feedback;;; I think if we saw the actual error we got, we could debug the small things much faster. (r152_AutoTest)


More detailed feedback;;; I felt the number of times you could call the autograder was fair, but there were times when I wasn't sure which parts of my implementation I should be working on. (r153_AutoTest)


More detailed feedback;;; smoke test feedback is often misleading. often times the bug that causes a category we would get 0/1 has absolutely nothing to do with the category itself. for example if you put the result &gt; 5000 check before transformations, you would get 0 on sum and max which is very misleading and does not point you in the right direction. should tell me to go read the spec for result limits more carefully or something (r154_AutoTest)


More detailed feedback;;; I wish there was more feedback provided for each test. For example, we would be given a check mark for addDataset on c1 but later on, we found out that it only achieved acquiring. (r155_AutoTest)


More detailed feedback;;; feedback was often vague, especially the hint/tip part. sometimes it would point in a direction that (at least in my opinion and experience) was not the source of the issue, which led us astray for a few hours before finding the problem. (r156_AutoTest)


More detailed feedback;;; I feel like feedback was not sufficient at all, as most of the time you get ares to focus on when you are only in acquiring and developing, but sometimes you might have worked on the code for a lot of the time and thought that you are at least in developing finally, and then you get beginning with no feedback to what might be wrong (r157_AutoTest)


More feedback on how the grade was computed;;; I felt that the auto bot feedback was too vague for me to actually figure out where to start looking. (r158_AutoTest)


Ability to check the same amount of feedback but more frequently;;; I like being able to change my code in small ways and then resubmitting it (r159_AutoTest)


More detailed feedback;;; I believe the numeric scores of the auto-test is fine but the additional feedback really doesn't provide much in terms of giving us a direction of where to improve or fix. For instance, if it said to work on 'add datasets' but we can't really tell what's wrong with our implementation and all our tests pass then we'd be stuck for hours not knowing what to do, only for it to end up being a somewhat unrelated issue. (r160_AutoTest)


More detailed feedback;;; The feedback given by auto test was often vague and opaque. It basically just told you if you needed to keep debugging or if you were done. Those were the only two options: keep going and done. Additionally, what little feedback was given was difficult to interpret. Try working on this component is unhelpful if we don’t know in what way it is failing. (r161_AutoTest)


More detailed feedback;;; Sometimes the feedback was so vague, that I couldn't identify where the problem was, especially if all my tests were passing locally. (r162_AutoTest)


More detailed feedback;;; I think a more detailed check would be very valuable, sometimes it felt that searching for the edge cases were really challenging because the feedback was not very clear. (r163_AutoTest)


More detailed feedback;;; Having to reach 80% to get detailed feedback from your project made the implementation harder especially in the earlier stages. If we were able to know what was failing and why it was failing earlier it would have made the coding process easier. I just think that gaining more detailed feedback is better than not getting feedback at all. The frequency was good. (r164_AutoTest)


More detailed feedback;;; There was a time that the auto test keeps failing, but I have no way to figure out what is causing the problem locally because no matter how I change / add the tests, all the local tests pass. Going to the TA office hour also doesn't help much because they don't have as much insights into how I coded the part. In this case a single issue is costing a huge amount of workload, and if there is a feedback given, this should be a really easy fix. Also in real projects, we should have those debug information, instead of coding like checks & guesses. (r165_AutoTest)


More detailed feedback;;; Could really go in detail abut the failing/misiing part (r166_AutoTest)


More feedback on what grade my submission received;;; Now the AutoTest only gives bucket testing, but I want to see more details and the estimated grade I will receive, which would help me to be more specific in determining my bugs and mistakes. (r167_AutoTest)


More detailed feedback;;; The c3 could be affected by c1 which the auto test could not show. This made it super hard to get full mark. (r168_AutoTest)


More detailed feedback;;; I often got stuck at a certain place with no idea what was going on. Knowing the output my code had on failing tests on the auto bot end would have been helpful. (r169_AutoTest)


More detailed feedback;;; I chose this mainly regarding the feedback about flaky tests, which turned out to be extremely hard to spot if they were not reported before the test suites became large. These feedback messages do not reflect anything about the test suites subject to flaky errors (although the nature of such errors make this hard as well), and could be more informative. (r170_AutoTest)


More detailed feedback;;; Need more feedback! (r171_AutoTest)


Ability to check the same amount of feedback but more frequently;;; (r172_AutoTest)


More detailed feedback;;; (r173_AutoTest)


More detailed feedback;;; For Q0, my grade section for EBNF was stuck on 4/6 and it just won't improve, despite trying many times. It would be helpful the give us more clues. (r174_AutoTest)


More detailed feedback;;; Sometimes you don't get full marks for an item but it doesn't say why (r175_AutoTest)


More detailed feedback;;; (r176_AutoTest)


